TOTAL ELEMENTS: 
2048
AVL insertion time: series 1, i: 0, time: 6.578499972820282}, IS_SORTED: false
BST insertion time: series 1, i: 0, time: 3.035207986831665}, IS_SORTED: false
AVL insertion time: series 1, i: 1, time: 3.3346670269966125}, IS_SORTED: false
BST insertion time: series 1, i: 1, time: 1.0022499561309814}, IS_SORTED: false
AVL insertion time: series 1, i: 2, time: 1.5705419778823853}, IS_SORTED: false
BST insertion time: series 1, i: 2, time: 1.3697090148925781}, IS_SORTED: false
AVL insertion time: series 1, i: 3, time: 1.8628750443458557}, IS_SORTED: false
BST insertion time: series 1, i: 3, time: 0.7822500467300415}, IS_SORTED: false
AVL insertion time: series 1, i: 4, time: 0.9055420160293579}, IS_SORTED: false
BST insertion time: series 1, i: 4, time: 0.18275004625320435}, IS_SORTED: false
AVL insertion time: series 1, i: 5, time: 0.5107499957084656}, IS_SORTED: false
BST insertion time: series 1, i: 5, time: 0.37641704082489014}, IS_SORTED: false
AVL insertion time: series 1, i: 6, time: 0.5127919912338257}, IS_SORTED: false
BST insertion time: series 1, i: 6, time: 0.2615000009536743}, IS_SORTED: false
AVL insertion time: series 1, i: 7, time: 1.1265000104904175}, IS_SORTED: false
BST insertion time: series 1, i: 7, time: 0.24666595458984375}, IS_SORTED: false
AVL insertion time: series 1, i: 8, time: 0.49654102325439453}, IS_SORTED: false
BST insertion time: series 1, i: 8, time: 0.4521249532699585}, IS_SORTED: false
AVL insertion time: series 1, i: 9, time: 1.1371660232543945}, IS_SORTED: false
BST insertion time: series 1, i: 9, time: 0.24875003099441528}, IS_SORTED: false
AVL insertion time: series 1, i: 10, time: 0.47345805168151855}, IS_SORTED: true
BST insertion time: series 1, i: 10, time: 4.21337503194809}, IS_SORTED: true
AVL insertion time: series 1, i: 11, time: 0.4886249899864197}, IS_SORTED: true
BST insertion time: series 1, i: 11, time: 4.214667022228241}, IS_SORTED: true
AVL insertion time: series 1, i: 12, time: 0.49983298778533936}, IS_SORTED: true
BST insertion time: series 1, i: 12, time: 4.241500020027161}, IS_SORTED: true
AVL insertion time: series 1, i: 13, time: 0.5043339729309082}, IS_SORTED: true
BST insertion time: series 1, i: 13, time: 4.234749972820282}, IS_SORTED: true
AVL insertion time: series 1, i: 14, time: 0.5069590210914612}, IS_SORTED: true
BST insertion time: series 1, i: 14, time: 4.248165965080261}, IS_SORTED: true
AVL insertion time: series 1, i: 15, time: 0.48079198598861694}, IS_SORTED: true
BST insertion time: series 1, i: 15, time: 4.198665976524353}, IS_SORTED: true
AVL insertion time: series 1, i: 16, time: 0.4801660180091858}, IS_SORTED: true
BST insertion time: series 1, i: 16, time: 4.197666943073273}, IS_SORTED: true
AVL insertion time: series 1, i: 17, time: 0.4799169898033142}, IS_SORTED: true
BST insertion time: series 1, i: 17, time: 4.216084003448486}, IS_SORTED: true
AVL insertion time: series 1, i: 18, time: 0.5154999494552612}, IS_SORTED: true
BST insertion time: series 1, i: 18, time: 29.22095799446106}, IS_SORTED: true
AVL insertion time: series 1, i: 19, time: 0.6607499718666077}, IS_SORTED: true
BST insertion time: series 1, i: 19, time: 4.653499960899353}, IS_SORTED: true
AVL search total time: series 1, i: 0, time: 0.8109579682350159}, IS_SORTED: false
AVL search avg time: series 1, i: 0, time: 0.0008109579682350159}, IS_SORTED: false
BST search total time: series 1, i: 0, time: 0.8698340058326721}, IS_SORTED: false
BST search avg time: series 1, i: 0, time: 0.0008698340058326721}, IS_SORTED: false
AVL search total time: series 1, i: 1, time: 0.4749169945716858}, IS_SORTED: false
AVL search avg time: series 1, i: 1, time: 0.0004749169945716858}, IS_SORTED: false
BST search total time: series 1, i: 1, time: 0.8812500238418579}, IS_SORTED: false
BST search avg time: series 1, i: 1, time: 0.0008812500238418579}, IS_SORTED: false
AVL search total time: series 1, i: 2, time: 0.7520419955253601}, IS_SORTED: false
AVL search avg time: series 1, i: 2, time: 0.0007520419955253601}, IS_SORTED: false
