Cart insert 1000 elements time: 6.4200000166893005 on militplier: 10, i: 0
Avl insert 1000 elements time: 0.7474580407142639 on militplier: 10, i: 0
Cart delete 1000 elements time: 0.70374995470047 on militplier: 10, i: 0
Avl delete 1000 elements time: 1.5411660075187683 on militplier: 10, i: 0
Cart find 1000 elements time: 1.3517500162124634 on militplier: 10, i: 0
Avl find 1000 elements time: 0.25954097509384155 on militplier: 10, i: 0
Cart insert 1000 elements time: 1.0283330082893372 on militplier: 10, i: 1
Avl insert 1000 elements time: 1.4406669735908508 on militplier: 10, i: 1
Cart delete 1000 elements time: 0.916333019733429 on militplier: 10, i: 1
Avl delete 1000 elements time: 0.8251659870147705 on militplier: 10, i: 1
Cart find 1000 elements time: 0.668624997138977 on militplier: 10, i: 1
Avl find 1000 elements time: 0.09450000524520874 on militplier: 10, i: 1
Cart insert 1000 elements time: 0.559499979019165 on militplier: 10, i: 2
Avl insert 1000 elements time: 1.407457947731018 on militplier: 10, i: 2
Cart delete 1000 elements time: 0.46983301639556885 on militplier: 10, i: 2
Avl delete 1000 elements time: 2.467917025089264 on militplier: 10, i: 2
Cart find 1000 elements time: 0.5519999861717224 on militplier: 10, i: 2
Avl find 1000 elements time: 0.12104195356369019 on militplier: 10, i: 2
Cart insert 1000 elements time: 0.7273750305175781 on militplier: 10, i: 3
Avl insert 1000 elements time: 0.4209589958190918 on militplier: 10, i: 3
Cart delete 1000 elements time: 0.6691669821739197 on militplier: 10, i: 3
Avl delete 1000 elements time: 0.4416249990463257 on militplier: 10, i: 3
Cart find 1000 elements time: 0.6957089900970459 on militplier: 10, i: 3
Avl find 1000 elements time: 0.08491700887680054 on militplier: 10, i: 3
Cart insert 1000 elements time: 0.9085000157356262 on militplier: 10, i: 4
Avl insert 1000 elements time: 0.27574998140335083 on militplier: 10, i: 4
Cart delete 1000 elements time: 0.3840410113334656 on militplier: 10, i: 4
Avl delete 1000 elements time: 0.4344159960746765 on militplier: 10, i: 4
Cart find 1000 elements time: 0.3860830068588257 on militplier: 10, i: 4
Avl find 1000 elements time: 0.1061670184135437 on militplier: 10, i: 4
Cart insert 1000 elements time: 0.8909580111503601 on militplier: 10, i: 5
Avl insert 1000 elements time: 0.4649580121040344 on militplier: 10, i: 5
Cart delete 1000 elements time: 0.5759170055389404 on militplier: 10, i: 5
Avl delete 1000 elements time: 0.5975830554962158 on militplier: 10, i: 5
Cart find 1000 elements time: 0.2837090492248535 on militplier: 10, i: 5
Avl find 1000 elements time: 0.0029579997062683105 on militplier: 10, i: 5
Cart insert 1000 elements time: 0.8790000081062317 on militplier: 10, i: 6
Avl insert 1000 elements time: 0.25095802545547485 on militplier: 10, i: 6
Cart delete 1000 elements time: 0.5294170379638672 on militplier: 10, i: 6
Avl delete 1000 elements time: 0.48841601610183716 on militplier: 10, i: 6
Cart find 1000 elements time: 0.28458303213119507 on militplier: 10, i: 6
Avl find 1000 elements time: 0.0027920007705688477 on militplier: 10, i: 6
Cart insert 1000 elements time: 0.6968330144882202 on militplier: 10, i: 7
Avl insert 1000 elements time: 0.22733402252197266 on militplier: 10, i: 7
Cart delete 1000 elements time: 0.5687909722328186 on militplier: 10, i: 7
Avl delete 1000 elements time: 0.4955419898033142 on militplier: 10, i: 7
Cart find 1000 elements time: 0.2867499589920044 on militplier: 10, i: 7
Avl find 1000 elements time: 0.002916991710662842 on militplier: 10, i: 7
Cart insert 1000 elements time: 0.7480419874191284 on militplier: 10, i: 8
Avl insert 1000 elements time: 1.3280829787254333 on militplier: 10, i: 8
Cart delete 1000 elements time: 0.6192499995231628 on militplier: 10, i: 8
Avl delete 1000 elements time: 0.4748750329017639 on militplier: 10, i: 8
Cart find 1000 elements time: 0.6048330068588257 on militplier: 10, i: 8
Avl find 1000 elements time: 0.0032920241355895996 on militplier: 10, i: 8
Cart insert 1000 elements time: 1.3678330183029175 on militplier: 10, i: 9
Avl insert 1000 elements time: 0.7280839681625366 on militplier: 10, i: 9
Cart delete 1000 elements time: 0.6935000419616699 on militplier: 10, i: 9
Avl delete 1000 elements time: 0.8409169912338257 on militplier: 10, i: 9
Cart find 1000 elements time: 0.3670840263366699 on militplier: 10, i: 9
Avl find 1000 elements time: 0.0040000081062316895 on militplier: 10, i: 9
Cart insert 1000 elements time: 0.8120839595794678 on militplier: 10, i: 10
Avl insert 1000 elements time: 0.24474996328353882 on militplier: 10, i: 10
Cart delete 1000 elements time: 0.4934999942779541 on militplier: 10, i: 10
Avl delete 1000 elements time: 0.4564160108566284 on militplier: 10, i: 10
Cart find 1000 elements time: 0.26112502813339233 on militplier: 10, i: 10
Avl find 1000 elements time: 0.0028339624404907227 on militplier: 10, i: 10
Cart insert 1000 elements time: 0.5534999966621399 on militplier: 10, i: 11
Avl insert 1000 elements time: 0.28345900774002075 on militplier: 10, i: 11
Cart delete 1000 elements time: 0.5809580087661743 on militplier: 10, i: 11
Avl delete 1000 elements time: 0.4700409770011902 on militplier: 10, i: 11
Cart find 1000 elements time: 0.2582080364227295 on militplier: 10, i: 11
Avl find 1000 elements time: 0.0029579997062683105 on militplier: 10, i: 11
Cart insert 1000 elements time: 0.4938330054283142 on militplier: 10, i: 12
Avl insert 1000 elements time: 0.2533750534057617 on militplier: 10, i: 12
Cart delete 1000 elements time: 0.4886249899864197 on militplier: 10, i: 12
Avl delete 1000 elements time: 0.8982090353965759 on militplier: 10, i: 12
Cart find 1000 elements time: 0.26662498712539673 on militplier: 10, i: 12
Avl find 1000 elements time: 0.002917051315307617 on militplier: 10, i: 12
Cart insert 1000 elements time: 0.5149580240249634 on militplier: 10, i: 13
Avl insert 1000 elements time: 0.26387500762939453 on militplier: 10, i: 13
Cart delete 1000 elements time: 0.4651249647140503 on militplier: 10, i: 13
Avl delete 1000 elements time: 0.4380829930305481 on militplier: 10, i: 13
Cart find 1000 elements time: 0.26649999618530273 on militplier: 10, i: 13
Avl find 1000 elements time: 0.0027500391006469727 on militplier: 10, i: 13
Cart insert 1000 elements time: 0.5251250267028809 on militplier: 10, i: 14
Avl insert 1000 elements time: 0.2819579839706421 on militplier: 10, i: 14
Cart delete 1000 elements time: 0.4816669821739197 on militplier: 10, i: 14
Avl delete 1000 elements time: 0.4403749704360962 on militplier: 10, i: 14
Cart find 1000 elements time: 0.2716670036315918 on militplier: 10, i: 14
Avl find 1000 elements time: 0.0028749704360961914 on militplier: 10, i: 14
Cart insert 1000 elements time: 1.0421670079231262 on militplier: 10, i: 15
Avl insert 1000 elements time: 0.24949997663497925 on militplier: 10, i: 15
Cart delete 1000 elements time: 0.47362494468688965 on militplier: 10, i: 15
Avl delete 1000 elements time: 0.4554160237312317 on militplier: 10, i: 15
Cart find 1000 elements time: 0.24529200792312622 on militplier: 10, i: 15
Avl find 1000 elements time: 0.0027500391006469727 on militplier: 10, i: 15
Cart insert 1000 elements time: 0.8343750238418579 on militplier: 10, i: 16
Avl insert 1000 elements time: 0.27787500619888306 on militplier: 10, i: 16
Cart delete 1000 elements time: 0.49208301305770874 on militplier: 10, i: 16
Avl delete 1000 elements time: 0.45387500524520874 on militplier: 10, i: 16
Cart find 1000 elements time: 0.2676659822463989 on militplier: 10, i: 16
Avl find 1000 elements time: 0.0027920007705688477 on militplier: 10, i: 16
Cart insert 1000 elements time: 0.9294580221176147 on militplier: 10, i: 17
Avl insert 1000 elements time: 0.47395801544189453 on militplier: 10, i: 17
Cart delete 1000 elements time: 0.4646250009536743 on militplier: 10, i: 17
Avl delete 1000 elements time: 0.4384169578552246 on militplier: 10, i: 17
Cart find 1000 elements time: 0.2544580101966858 on militplier: 10, i: 17
Avl find 1000 elements time: 0.0027499794960021973 on militplier: 10, i: 17
Cart insert 1000 elements time: 0.24341696500778198 on militplier: 10, i: 18
Avl insert 1000 elements time: 0.2532079815864563 on militplier: 10, i: 18
Cart delete 1000 elements time: 0.9807919859886169 on militplier: 10, i: 18
Avl delete 1000 elements time: 0.5722909569740295 on militplier: 10, i: 18
Cart find 1000 elements time: 0.3019160032272339 on militplier: 10, i: 18
Avl find 1000 elements time: 0.0030829906463623047 on militplier: 10, i: 18
Cart insert 1000 elements time: 0.5810409784317017 on militplier: 10, i: 19
Avl insert 1000 elements time: 0.28129202127456665 on militplier: 10, i: 19
Cart delete 1000 elements time: 0.1512089967727661 on militplier: 10, i: 19
Avl delete 1000 elements time: 0.16408300399780273 on militplier: 10, i: 19
Cart find 1000 elements time: 0.16541600227355957 on militplier: 10, i: 19
Avl find 1000 elements time: 0.002624988555908203 on militplier: 10, i: 19
Cart insert 1000 elements time: 0.5867080092430115 on militplier: 10, i: 20
Avl insert 1000 elements time: 0.21875 on militplier: 10, i: 20
Cart delete 1000 elements time: 0.13795799016952515 on militplier: 10, i: 20
Avl delete 1000 elements time: 0.1576250195503235 on militplier: 10, i: 20
Cart find 1000 elements time: 0.14704203605651855 on militplier: 10, i: 20
Avl find 1000 elements time: 0.0027089715003967285 on militplier: 10, i: 20
Cart insert 1000 elements time: 0.21570897102355957 on militplier: 10, i: 21
Avl insert 1000 elements time: 0.24641698598861694 on militplier: 10, i: 21
Cart delete 1000 elements time: 0.13416695594787598 on militplier: 10, i: 21
